"term","estimate","std.error","statistic","p.value"
"(Intercept)",0.996450278683415,0.770363551112213,1.29348056154109,0.202445358118269
"County_Profile",1.62963695739127,0.813576511031516,2.00305310600116,0.0512169638196818
"urbanicitysmall/mid",-0.0480499773030977,0.130535818507526,-0.36809802744162,0.714526046657236
"urbanicitysuburban",-0.33891903786405,0.225877483551065,-1.50045516948319,0.140480779797082
"urbanicityurban",0.88315837675923,0.538962646652247,1.63862631713895,0.108265226634469
"private_jail_flag1",0.397465027671709,0.213990150042892,1.85739870546397,0.0698058951559688
"pctblackjail",-0.0123738667760251,0.00773316178339276,-1.60010447506716,0.116573624218717
"pctwhitejail",-0.0256858946450482,0.00910554739610146,-2.82090614959026,0.00710044599292444
