State,County,County,State Profile,Jurisdiction Profile (R/B/M),County Profile,State Social Distancing Policy,state abbreviation,Pre-COVID Jail Population,Change,Percentage Change,Jail Incarceration Rate Per 100K,International Benchmark,Rate Reduction to Match Internatonal Norms,Add'l Jail Reduction to Match Pre-COVID Intn'l Avg,Jail rate is X time norm,Target Jail Population,Date of covid data,Jail Population (Latest),Resident population,Cases Per 100K Residents,COVID-19 Cases,Deaths Per 100K Residents,COVID-19 Deaths
Arkansas,"Baxter, AR",Baxter,24,M,0.7788259958,,AR,114,-36,-0.315789474,186.0155,35,-151.015,-63.3238,5.314727,14.6762,4/9/2020,78,41932,10,4,0,0
Arkansas,"Boone, AR",Boone,24,R,0.8065887354,,AR,110,-28,-0.254545455,219.0639,35,-184.064,-68.8988,6.258969,13.1012,4/9/2020,82,37432,8,3,0,0
Arkansas,"Columbia, AR",Columbia,24,R,0.6349534643,,AR,76,-19,-0.25,242.9978,35,-207.998,-48.7901,6.942795,8.20995,4/9/2020,57,23457,13,3,0,0
Arkansas,"Cross, AR",Cross,24,M,0.6962421712,,AR,67,-21,-0.313432836,280.1632,35,-245.163,-40.2534,8.004664,5.74665,4/9/2020,46,16419,37,6,0,0
Arkansas,"Faulkner, AR",Faulkner,24,R,0.6673866091,,AR,466,-255,-0.5472103,167.451,35,-132.451,-166.898,4.784315,44.10245,4/9/2020,211,126007,44,56,1,1
Arkansas,"Hempstead, AR",Hempstead,24,M,0.6496881497,,AR,67,-31,-0.462686567,167.193,35,-132.193,-28.4638,4.776943,7.5362,4/9/2020,36,21532,14,3,5,1
Arkansas,"Jefferson, AR",Jefferson,24,B,0.6304347826,,AR,358,-134,-0.374301676,335.2089,35,-300.209,-200.612,9.577397,23.3884,4/9/2020,224,66824,136,91,2,1
Arkansas,"Lonoke, AR",Lonoke,24,R,0.7790697674,,AR,290,-54,-0.186206897,321.925,35,-286.925,-210.342,9.197857,25.65815,4/9/2020,236,73309,36,26,0,0
Arkansas,"Monroe, AR",Monroe,24,B,0.5190525232,,AR,13,-8,-0.615384615,74.61573,35,-39.6157,-2.65465,2.131878,2.34535,4/9/2020,5,6701,15,1,0,0
Arkansas,"Poinsett, AR",Poinsett,24,M,0.6267232238,,AR,88,-54,-0.613636364,144.5087,35,-109.509,-25.7652,4.128819,8.2348,4/9/2020,34,23528,26,6,0,0
