State,CountyState,County,State_Profile,Jurisdiction_Profile,County_Profile,Stay_at_home_date,Stay_at_home,Business_Closures,State_Abbrev,PreCovid_Jail_Pop,Change_Pop,Percent_Change,Incarceration_Per_100K,International_Benchmark,Rate_Reduction_Match_Itnl_Norms,Add_Jail_to_Match_Pre-COVID_Intl_Avg,Jail_rate_is_X_time_norm,Target_Jail_Population,Date_Covid_Data,Jail_Population_Latest,Resident_population,Cases_Per_100K_Residents,COVID-19_Cases,Deaths_Per_100K_Residents,COVID-19_Deaths
Virginia,"Hanover, Virginia",Hanover,0.4741833509,R,0.6712473573,03/30/2020 0:00,Yes,NonEssentialRetail,VA,385,-95,-0.246753247,269.1016,35,-234.102,-252.282,7.688616,37.7181,4/9/2020,290,107766,27,29,0,0
Virginia,"Hopewell city, Virginia",Hopewell city,0.4741833509,R,0.4510416667,03/30/2020 0:00,Yes,NonEssentialRetail,VA,1407,-210,-0.149253731,5313.152,35,-5278.15,-1189.11,151.8043,7.88515,4/9/2020,1197,22529,58,13,0,0
Virginia,"Middlesex, Virginia",Middlesex,0.4741833509,R,0.6348547718,03/30/2020 0:00,Yes,NonEssentialRetail,VA,179,-32,-0.17877095,1389.151,35,-1354.15,-143.296,39.69004,3.7037,4/9/2020,147,10582,19,2,0,0
Virginia,"Roanoke, Virginia",Roanoke,0.4741833509,R,0.6473684211,03/30/2020 0:00,Yes,NonEssentialRetail,VA,935,-124,-0.132620321,861.0622,35,-826.062,-778.035,24.60178,32.9651,4/9/2020,811,94186,10,9,0,0
Virginia,"Rockbridge, Virginia",Rockbridge,0.4741833509,R,0.6554621849,03/30/2020 0:00,Yes,NonEssentialRetail,VA,140,-47,-0.335714286,411.9966,35,-376.997,-85.0995,11.77133,7.90055,4/9/2020,93,22573,13,3,0,0
Virginia,"Staunton city, Virginia",Staunton city,0.4741833509,R,0.4904051173,03/30/2020 0:00,Yes,NonEssentialRetail,VA,904,-127,-0.140486726,3116.477,35,-3081.48,-768.274,89.04219,8.7262,4/9/2020,777,24932,4,1,0,0
Virginia,"Suffolk city, Virginia",Suffolk city,0.4741833509,R,0.4275286757,03/30/2020 0:00,Yes,NonEssentialRetail,VA,800,-57,-0.07125,806.6617,35,-771.662,-710.762,23.04748,32.2378,4/9/2020,743,92108,34,31,0,0
Virginia,"Virginia Beach city, Virginia",Virginia Beach city,0.4741833509,R,0.5234541578,03/30/2020 0:00,Yes,NonEssentialRetail,VA,1518,-253,-0.166666667,281.1274,35,-246.127,-1107.51,8.03221,157.4909,4/9/2020,1265,449974,49,219,0,1
Virginia,"Warren, Virginia",Warren,0.4741833509,R,0.6950578339,03/30/2020 0:00,Yes,NonEssentialRetail,VA,498,-109,-0.218875502,968.529,35,-933.529,-374.943,27.67226,14.0574,4/9/2020,389,40164,22,9,0,0
Virginia,"Washington, Virginia",Washington,0.4741833509,R,0.7766287487,03/30/2020 0:00,Yes,NonEssentialRetail,VA,1997,-197,-0.098647972,3349.46,35,-3314.46,-1781.19,95.69887,18.809,4/9/2020,1800,53740,28,15,0,0
Virginia,"Williamsburg city, Virginia",Williamsburg city,0.4741833509,R,0.2698412698,03/30/2020 0:00,Yes,NonEssentialRetail,VA,409,-77,-0.188264059,2220.142,35,-2185.14,-326.766,63.43262,5.2339,4/9/2020,332,14954,107,16,7,1
Washington,"King, Washington",King,0.4125269978,B,0.2313432836,03/23/2020 0:00,Yes,AllNonEssential,WA,2130,-584,-0.274178404,68.62626,35,-33.6263,-757.526,1.96075,788.4737,4/9/2020,1546,2252782,173,3888,12,260
Washington,"Snohomish, Washington",Snohomish,0.4125269978,B,0.40914037,03/23/2020 0:00,Yes,AllNonEssential,WA,805,-468,-0.58136646,40.99343,35,-5.99343,-49.271,1.171241,287.7291,4/9/2020,337,822083,207,1701,8,63
Wisconsin,"Brown, Wisconsin",Brown,0.5052742616,R,0.5570824524,03/25/2020 8:00,Yes,AllNonEssential,WI,733,-138,-0.188267394,224.917,35,-189.917,-502.41,6.426201,92.5897,4/9/2020,595,264542,19,50,0,1
Wisconsin,"Kenosha, Wisconsin",Kenosha,0.5052742616,M,0.5015839493,03/30/2020 0:00,Yes,AllNonEssential,WI,531,-100,-0.188323917,254.1858,35,-219.186,-371.654,7.262452,59.34635,4/9/2020,431,169561,80,135,1,1
